kind,legacy_id,canonical_id,status
track,Road America-Bend,,legacy-fallback
track,Santa Cruz du sol-,,legacy-fallback
track,Salvador-,,legacy-fallback
track,Silverstone-2019,,legacy-fallback
track,Silverstone-(2019) National,,legacy-fallback
track,Silverstone-(2019) International,,legacy-fallback
track,"Silverstone-1975 ""Chicane""",,legacy-fallback
track,"Silverstone-1975 ""No chicane""",Silverstone_1975_No_Chicane-113,canonical
track,Silverstone-1991,Silverstone_1991-110,canonical
track,Silverstone-2001,Silverstone_2001-83,canonical
track,Silverstone-2001 International,Silverstone_2001-112,canonical
track,Silverstone-2001 National,Silverstone_2001-111,canonical
track,Snetterton-100,Snetterton_100-85,canonical
track,Snetterton-200,Snetterton_200-86,canonical
track,Snetterton-300,Snetterton_300-87,canonical
track,Spa-2020,,legacy-fallback
track,Spa-1993,,legacy-fallback
track,Spielberg-1974,,legacy-fallback
track,Spielberg-1977,,legacy-fallback
track,Spielberg-GP,,legacy-fallback
track,Spielberg-Short,Spielberg_Short-91,canonical
track,Tarumã-Chicane,,legacy-fallback
track,Tarumã-Internacional,,legacy-fallback
track,Velo Città-,,legacy-fallback
track,Velo Città-Club Day,,legacy-fallback
track,Velo Città-Track Day,,legacy-fallback
track,Velopark-,,legacy-fallback
track,Velopark-2010,Velopark_2010-100,canonical
track,VIR-Full,,legacy-fallback
track,VIR-Grand,,legacy-fallback
track,VIR-North,,legacy-fallback
track,VIR-Patriot,,legacy-fallback
track,VIR-South,,legacy-fallback
track,Watkins Glen-GP,Watkins_Glen_GP-154,canonical
track,Watkins Glen-GP Inner Loop,,legacy-fallback
track,Watkins Glen-Short,,legacy-fallback
track,Watkins Glen-Short Inner Loop,,legacy-fallback
track,Baskerud-Long,,legacy-fallback
track,Baskerud-Short,,legacy-fallback
track,Granja Viana Kart-Stage 2,,legacy-fallback
track,Granja Viana Kart-101,,legacy-fallback
track,Granja Viana Kart-102,,legacy-fallback
track,Granja Viana Kart-121,,legacy-fallback
track,Interlagos-Kart One,,legacy-fallback
track,Interlagos-Kart Two,,legacy-fallback
track,Interlagos-Kart Three,,legacy-fallback
track,Londrina Kart-One,,legacy-fallback
track,Londrina Kart-Two,,legacy-fallback
track,Ortana-Kart 1,,legacy-fallback
track,Ortana-Kart 2,,legacy-fallback
track,Ortana-Kart 3,,legacy-fallback
track,Ortana-Kart 4,,legacy-fallback
track,Speedland-1,Speedland1-122,canonical
track,Speedland-2,Speedland2-123,canonical
track,Speedland-3,Speedland3-124,canonical
track,Speedland-4,Speedland4-125,canonical
track,Termas Río Hondo-,,legacy-fallback
track,Buenos Aires Circuito-No.6,,legacy-fallback
track,Buenos Aires Circuito-No.6s,,legacy-fallback
track,Buenos Aires Circuito-No.7,,legacy-fallback
track,Buenos Aires Circuito-No.8,,legacy-fallback
track,Buenos Aires Circuito-No.9,,legacy-fallback
track,Buenos Aires Circuito-No.12,,legacy-fallback
track,Buenos Aires Circuito-No.15,,legacy-fallback
track,Córdoba-TC,,legacy-fallback
track,Córdoba-Nr.2,,legacy-fallback
track,Córdoba-Nr.4,,legacy-fallback
